codigos;productos;uxb;fair_ventas;burzaco_ventas;a_korn_ventas;tucuman_ventas;fair_stock;burzaco_stock;a_korn_stock;tucuman_stock;cdistrib;ventas;stock
476333;COLCHADO PALETTE DIAMONT TWIN 170X2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
468636;CROCS NIÑOS MARGARITA PANDA;1;0.0;0.0;0.0;1.0;5.0;10.0;0.0;14.0;0.0;1.0;29.0
479995;ABANICO TAURO x1Un.;1;0.0;0.0;0.0;0.0;31.0;0.0;0.0;0.0;0.0;0.0;31.0
463660;ABEJA EN BOLSA;1;0.0;0.0;0.0;0.0;0.0;-10.0;0.0;0.0;0.0;0.0;-10.0
463665;ABEJITA EN BOLSA A CUERDA;1;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
11750;ABRE LATA MARIPOSA COLOR ARGOS;1;0.0;0.0;0.0;0.0;0.0;31.0;-4.0;0.0;0.0;0.0;27.0
11751;ABRE LATA MARIPOSA NIQ ARGOS;1;0.0;0.0;0.0;0.0;15.0;29.0;0.0;0.0;0.0;0.0;44.0
475452;ABRE LATA UÑA ECO ARGOS;1;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
479509;ABRE LATAS C/PERILLA C1162 CAROL x1U;1;8.0;0.0;0.0;0.0;122.0;14.0;0.0;0.0;0.0;8.0;136.0
475200;ABRE LATAS IMP.EMANUEL BH-782;1;6.0;0.0;0.0;0.0;140.0;6.0;6.0;4.0;0.0;6.0;156.0
11197;ABROCH MAPED VIVO N10;1;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;0.0;6.0
466720;ABROCHADORA MIT 50;1;0.0;0.0;0.0;0.0;4.0;2.0;0.0;3.0;0.0;0.0;9.0
473401;AC ALGABO 0% S/SAL X750ML;15;0.0;0.33;0.0;0.0;0.0;1.26;0.0;0.0;0.0;0.33;1.26
473628;AC ALGABO BABY EXT SUAVE X444ML;12;0.5;0.75;0.25;0.08;1.0;0.0;0.0;1.41;0.0;1.58;2.41
473629;AC ALGABO BABY MANZANILLA X444ML;12;0.83;0.0;0.0;0.08;1.91;0.0;1.08;0.0;0.0;0.91;3.0
477382;AC ALGABO CONTROL KERATINA x400ml;12;0.0;0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16;0.0
464058;AC ALGABO VARIOS X930ML;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
474945;AC DOVE X180ML RECONSTRUC;12;1.16;2.25;1.75;3.25;0.0;2.58;0.0;12.25;0.0;8.41;14.83
474946;AC DOVE X180ML RITUAL REP;12;10.91;2.58;4.91;2.58;0.0;6.75;0.0;15.41;0.0;21.0;22.16
474932;AC DOVE X200ML OLEO NUTRI;12;0.5;0.5;0.0;0.0;12.25;0.0;0.0;0.0;0.0;1.0;12.25
474931;AC DOVE X200ML RECONSTRUC;12;1.33;1.08;2.5;0.5;7.08;4.33;0.0;1.83;0.0;5.41;13.25
474933;AC DOVE X200ML REGENERACI;12;0.08;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.08;12.0
475488;AC DOVE X200ML RITUAL REP;12;1.5;0.0;0.0;0.0;4.5;-2.0;0.0;0.0;0.0;1.5;2.5
476742;AC DOVE X400ML BRILLO;12;2.0;0.5;0.58;0.5;0.0;0.0;0.0;0.0;0.0;3.58;0.0
476743;AC DOVE X400ML HIDRATACIO;12;8.0;1.16;3.83;1.0;1.91;4.25;4.58;1.0;0.0;14.0;11.75
476739;AC DOVE X400ML LARGOS;12;0.0;0.0;0.0;0.33;0.0;0.0;0.0;0.0;0.0;0.33;0.0
474918;AC DOVE X400ML NUTRICION;12;1.0;0.33;2.5;1.41;0.0;1.08;0.0;0.0;0.0;5.25;1.08
474916;AC DOVE X400ML RECONSTRUC;12;4.0;0.91;3.66;0.0;0.0;2.0;0.0;0.0;0.0;8.58;2.0
478307;AC DOVE X400ML REGENERACI;12;1.0;0.0;0.0;0.0;2.16;0.0;0.0;0.0;0.0;1.0;2.16
474919;AC DOVE X400ML REPARACION;12;2.16;0.66;1.41;0.0;0.0;2.0;1.83;0.0;0.0;4.25;3.83
5191;AC ELVIVE X200ML;12;13.83;1.91;1.58;0.66;52.91;6.41;0.0;5.75;0.0;18.0;65.08
8687;AC ELVIVE X400CC EQUILIBRAN;12;0.83;0.5;0.5;0.0;5.75;1.66;1.5;0.0;0.0;1.83;8.91
8379;AC ELVIVE X400CC HIDRA RELL;12;0.58;0.0;0.91;0.0;6.58;1.83;1.25;0.0;0.0;1.5;9.66
8472;AC ELVIVE X400CC NUTRI INTE;12;0.08;0.08;0.91;0.0;0.0;0.0;0.0;0.0;0.0;1.08;0.0
8681;AC ELVIVE X400CC NUTRI SELL;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8381;AC ELVIVE X400CC NUTRI-LISS;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8378;AC ELVIVE X400CC PROTECTOR;12;0.83;0.08;0.75;0.0;5.83;2.08;1.33;0.0;0.0;1.66;9.25
8556;AC ELVIVE X400CC RECONSTRUC;12;1.0;0.0;0.41;0.0;5.75;2.08;1.66;0.0;0.0;1.41;9.5
8666;AC ELVIVE X400CC REPARADOR;12;0.08;0.0;0.66;0.0;5.41;2.0;1.41;0.0;0.0;0.75;8.83
469794;AC ELVIVE X750ML 6 OLEOS;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
469797;AC ELVIVE X750ML ARCILL DET;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
469799;AC ELVIVE X750ML DREAM LONG;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
469790;AC ELVIVE X750ML KERA BRILL;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
469789;AC ELVIVE X750ML KERA LISO;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
469801;AC ELVIVE X750ML LONG LISS;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
469795;AC ELVIVE X750ML OLEO COCO;12;0.0;0.0;0.0;0.0;7.83;0.0;0.0;0.0;0.0;0.0;7.83
469792;AC ELVIVE X750ML REP. EXTRE;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
469787;AC ELVIVE X750ML REP. TOTAL;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
478597;AC ESTRELLA DP X180ML EQUILIBRIO;12;0.33;0.75;4.08;0.58;15.0;0.0;14.83;11.16;13.0;5.75;54.0
478601;AC ESTRELLA DP X180ML NUTRICION;12;0.08;0.83;5.66;1.41;20.25;4.16;4.25;9.83;17.0;8.0;55.5
478600;AC ESTRELLA DP X180ML RESTAURACI;12;0.0;0.41;0.0;1.08;15.5;3.5;13.41;5.83;0.0;1.5;38.25
479157;AC ESTRELLA VS X250ML;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
479332;AC FRUCTIS GARNIER AGUA C/COCO X35CC;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
461599;AC FRUCTIS VARIOS X200ML;12;3.5;0.0;0.0;2.41;26.66;0.0;0.0;10.08;0.0;5.91;36.75
471390;AC FRUCTIS x300ml;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5922;AC HEAD&SHOUL VARIOS x150ml;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
466627;AC HEAD&SHOULDERS X300ML;12;6.16;1.16;0.75;3.58;21.5;0.0;0.0;16.41;0.0;11.66;37.91
1832;AC HEAD&SHOULDERS X375ML;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
469399;AC INECTO VARIOS X200ML;6;1.66;0.0;0.0;0.0;-4.0;0.0;0.0;0.0;0.0;1.66;-4.0
8945;AC J&J VARIOS x400ml;12;2.16;0.08;0.0;0.16;8.66;0.0;0.0;2.41;0.0;2.41;11.08
4079;AC PANTENE BRILLO X200ML;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
475461;AC PANTENE DETOX X750ML;12;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
477181;AC PANTENE DETOX x200cc;12;0.16;0.0;0.0;0.0;1.58;0.0;0.0;0.0;0.0;0.16;1.58
477179;AC PANTENE HIDRATA x200cc;12;0.0;0.0;0.0;0.0;3.41;0.0;0.0;0.0;0.0;0.0;3.41
477404;AC PANTENE X200ML BRILLO;12;0.16;0.08;0.08;0.16;22.66;0.0;0.0;0.0;0.0;0.5;22.66
474869;AC PANTENE X200ML FUERZA REC;12;0.5;0.0;0.0;0.25;-1.58;0.0;0.0;3.0;0.0;0.75;1.41
475456;AC PANTENE X200ML HID EXTREM;12;0.0;0.66;0.0;0.25;4.25;9.33;0.0;0.0;0.0;0.91;13.58
474870;AC PANTENE X200ML HIDRATACIO;12;1.75;0.66;0.41;2.08;-7.08;0.0;0.0;0.0;0.0;4.91;-7.08
474871;AC PANTENE X200ML LISO EXTRE;12;1.33;0.25;0.08;0.0;-4.91;1.75;0.0;0.0;0.0;1.66;-3.16
474872;AC PANTENE X200ML MICELAR;12;0.33;0.25;0.0;0.0;-4.0;0.0;0.0;7.0;0.0;0.58;3.0
474873;AC PANTENE X200ML RESTAURACI;12;0.16;0.91;0.16;0.91;0.0;0.0;0.0;0.0;0.0;2.16;0.0
474886;AC PANTENE X200ML RIZOS;12;0.0;0.0;0.0;0.0;-3.0;0.0;1.0;1.0;0.0;0.0;-1.0
469846;AC PANTENE X400ML BRILLO;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
469590;AC PANTENE X400ML DETOX;12;1.83;0.58;0.75;0.33;0.0;0.0;0.0;1.66;0.0;3.5;1.66
476706;AC PANTENE X400ML EQUILIBRIO;12;1.41;0.5;1.0;0.91;0.0;0.0;0.0;0.0;0.0;3.83;0.0
478678;AC PANTENE X400ML HIDRATA;12;3.75;0.75;1.33;0.66;12.25;1.66;0.0;0.0;0.0;6.5;13.91
478674;AC PANTENE X400ML KERATINA;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
469588;AC PANTENE X400ML LISO INFI;12;3.58;0.75;1.91;1.08;0.0;1.08;0.0;1.0;0.0;7.33;2.08
469587;AC PANTENE X400ML RESTAURAC.;12;3.58;0.0;0.0;0.0;-9.91;1.33;0.0;0.0;0.0;3.58;-8.58
476704;AC PANTENE X400ML REVITALIZ.;12;2.91;0.41;1.83;1.33;1.08;1.58;0.0;0.0;0.0;6.49;2.66
478672;AC PANTENE X400ML VOLUMEN;12;2.5;0.0;1.91;0.5;20.91;2.0;0.0;1.5;0.0;4.91;24.41
463852;AC PATRICIA ALLEN VARIOS X930ML;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
479932;AC PLUSBELLE ESENC NUTRICION x700cc;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
