[110l

[2u[12c  
Emanuel			Server emanuel                                                           (nauxest1 ) Pagina:    1 
                                                                                               Fecha : 24/06/2026
                                                                                               Hora  : 08:51:13
     Estadistica: Ranking de Articulos por Cantidad                  Del 23/06/2026 al 23/06/2026 - Código VT 100 
***************************************************************************************************************************
[¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ DATOS DEL ANALISIS ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡] [¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ PORCENTAJES ¡¡¡¡¡¡¡¡¡¡¡¡¡¡]
       CAMPO            CODIGO            DESCRIPCION              TOTAL         NIVEL    NIV.6  NIV.5  NIV.4  NIV.3  NIV.2
¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡
                                                                      51282,31 6  ****** 100,00                            
Sucursal             01          Fair   .                             25573,72 5  *****   49,87 100,00                     
Artículo             000002850   PURE DE TOMATE MOLTO X520g             527,00 4  ****     1,03   2,06 100,00              
Artículo             000005067   CHIZITOS CAPULLITOS x80gr              409,00 4  ****     0,80   1,60 100,00              
Artículo             000004157   ALF. GUAYMALLEN SIMP LECHE x           334,00 4  ****     0,65   1,31 100,00              
Artículo             000467980   AZUCAR VALLE/IVANA REFINADA            269,00 4  ****     0,52   1,05 100,00              
Artículo             000473646   BOLSAS CLIENTES x1Un                   240,00 4  ****     0,47   0,94 100,00              
Artículo             000002849   PURE DE TOMATE MAROLIO X520g           238,00 4  ****     0,46   0,93 100,00              
Artículo             000000352   AZUCAR LEDESMA x1kg                    229,00 4  ****     0,45   0,90 100,00              
Artículo             000009070   TAPITA BARBACOA CAPULLITOS x           209,00 4  ****     0,41   0,82 100,00              
Artículo             000011167   ARROZ CAPILLA 0000 BSA x1Kg            199,00 4  ****     0,39   0,78 100,00              
Artículo             000477820   PURE DE TOMATE VIGENTE x520g           196,00 4  ****     0,38   0,77 100,00              
Artículo             000005069   PIZZITAS CAPULLITOS x80gr              194,00 4  ****     0,38   0,76 100,00              
Artículo             000470589   TAPAS DE EMPANADAS CRIOLLAS            184,00 4  ****     0,36   0,72 100,00              
Artículo             000464208   TURRON FULBITO CARAMEL x1Un.           180,00 4  ****     0,35   0,70 100,00              
Artículo             000001151   BIZCOCHOS DON SATUR GRASA 20           173,00 4  ****     0,34   0,68 100,00              
Artículo             000470591   TAPA DE PASCUALINA CRIOLLA E           168,00 4  ****     0,33   0,66 100,00              
Artículo             000005070   TUTUCAS CAPULLITOS x80gr               168,00 4  ****     0,33   0,66 100,00              
